Unnamed__0,Value
2019-03-01,58.1704761905
2019-04-01,63.8704545455
2019-05-01,60.74
2019-06-01,54.666
2019-07-01,57.3760869565
2019-08-01,54.8304545455
2019-09-01,56.86
2019-10-01,53.9608695652
2019-11-01,56.6776190476
2019-12-01,59.8677272727
2020-01-01,57.7169565217
2020-02-01,50.608
2020-03-01,29.3204545455
2020-04-01,16.975
2020-05-01,28.7814285714
2020-06-01,38.3145454545
2020-07-01,40.7152173913
2020-08-01,42.370952381
2020-09-01,39.5981818182
2020-10-01,39.405
2020-11-01,41.389047619
2020-12-01,47.0704347826
2021-01-01,51.8495238095
2021-02-01,59.2345
2021-03-01,62.1839130435
2021-04-01,61.4177272727
2021-05-01,65.160952381
2021-06-01,71.3772727273
2021-07-01,72.5918181818
2021-08-01,67.8722727273
2021-09-01,71.535
2021-10-01,81.3642857143
2021-11-01,79.0954545455
2021-12-01,71.802173913
2022-01-01,83.2776190476
2022-02-01,91.608
2022-03-01,108.3991304348
2022-04-01,101.9852380952
2022-05-01,109.7127272727
2022-06-01,114.6759090909
2022-07-01,101.9180952381
2022-08-01,93.6926086957
2022-09-01,84.4
2022-10-01,87.2866666667
2022-11-01,84.0763636364
2022-12-01,76.5818181818
2023-01-01,78.2513636364
2023-02-01,77.0275
2023-03-01,73.3482608696
2023-04-01,79.1265
2023-05-01,71.6734782609
2023-06-01,70.3068181818
2023-07-01,75.7666666667
2023-08-01,81.3726086957
2023-09-01,89.240952381
2023-10-01,85.4690909091
